IPCD,Binary,Score,DynRes,SSRes,Dyn_SS
IPC80,0,466.00,1067.99570875859,1491.5210997493,0.716044653299308
IPC81,0,466.00,1231.11074574364,743.299928497121,1.65627722880698
IPC82,0,466.00,1470.47159617807,732.809902910474,2.00662080348239
IPC83,0,466.00,1083.28385138168,1953.94290266439,0.55440916411
IPC84,0,466.00,1023.41369289459,1872.37823646813,0.54658491162
IPC85,0,466.00,654.047421857011,913.417087668156,0.716044653299
IPC87,0,466.00,194.035923237881,332.995365482459,0.582698569864
IPC89,0,466.00,2500,2500,1
IPC91,0,466.00,539.854789455833,1016.16642804464,0.53126611405048
IPC92,0,466.00,70.7347273102761,143.965709639127,0.491330383377986
IPC93,0,465.33,365.196005961226,622.306837929884,0.586842348022
IPC94,0,466.00,613.524360759695,1106.62738006212,0.554409164108388
IPC95,0,462.33,143.965709639127,217.401412753967,0.662211472388
IPC252,0,457.67,307.930623878205,786.78330655971,0.391379203537837
IPC253,0,463.33,162.434627633904,468.327159424912,0.346840076141
IPC258,0,462.33,325.944703016107,775.679609787338,0.420205325631
IPC349,1,146.00,252.036511401382,194.749481265433,1.294157549297
IPC436,0,455.67,312.364603819928,485.299864319177,0.643652773854
IPC448,0,463.33,276.794318237713,587.913627907468,0.470807794034
IPC450,0,466.00,838.750058071565,2500,0.335500023228626
IPC543,1,-34.33,1523.66167447039,345.01261383564,4.41624918443
IPC573,0,456.33,415.061419083673,211.308665272952,1.964242301884
IPC1103,0,464.33,1098.79084067517,1138.53643725405,0.96509062400
IPC1256,1,365.00,781.211730723129,1379.36503671086,0.566356047842095
IPC1257,0,460.67,2500,2039.06069431477,1.22605472557556
IPC1259,0,463.33,345.01261383564,980.692692128493,0.351805021700351
IPC1260,0,466.00,826.912966162028,1556.49484183638,0.531266114050479
IPC1261,1,105.66,1819.90224863196,1512.87192270795,1.20294535269
IPC1262,0,460.33,697.247016415304,1502.15857815918,0.464163388974382
IPC1264,0,466.00,2500,2268.4325159689,1.10208259774137
IPC1266,0,460.00,933.10018176763,1293.90320047361,0.72115145973
IPC1268,0,466.00,485.267546672768,732.809902910474,0.662201131215
IPC1269,1,308.67,2500,2500,1
IPC1270,0,465.33,349.951399641451,809.469816923529,0.432321739891
IPC1271,0,466.00,532.269522177225,543.738882737461,0.978906491839
IPC1272,0,466.00,378.434687640002,521.042090667562,0.726303487603
IPC1273,0,466.00,248.806350091973,697.247016415304,0.356841039451
IPC1274,0,466.00,869.089427680924,1926.36734364983,0.451154568491743
IPC1370,1,436.00,1832.88173037122,2500,0.733152692148488
IPC1423,1,427.00,1075.61261829857,707.227966472556,1.52088530048297
IPC1432,0,460.33,1091.0097954416,1122.46852724863,0.971973617929279
IPC1439,1,95.33,1419.13835032838,1601.37560642066,0.88619955533
PAO1,0,466.00,571.436535947146,1389.20262184446,0.411341388910167
PA14,0,461.33,738.036278536047,1819.90224863196,0.405536219921063
